allen_structure_id,acronym,name,total_density_cells_per_mm3,neuron_density,astrocyte_density,oligodendrocyte_density,microglia_density,glia_density,region_volume_mm3,murakami_total_density,murakami_total_count_mean,murakami_total_count_sd,murakami_is_leaf_region,rodarie_neuron_density,rodarie_region_volume_mm3,ero_region_volume_mm3,ero_total_count,rodarie_gad67_density,rodarie_pv_density,rodarie_sst_density,rodarie_vip_density
1,TMv,"Tuberomammillary nucleus, ventral part",206639.736966,144834.194457,32766.557069,28046.970409,992.015031,61805.542508,0.033266,147399.405041,4903.333333,483.028295,True,180887.666345,0.033266,0.033266,6874,20177.623047,310.329529,7799.362793,11.990561
2,SSp-m6b,"Primary somatosensory area, mouth, layer 6b",138476.96793,60706.705539,7519.533528,62451.311953,7799.41691,77770.262391,0.107188,115688.241011,12400.333333,1114.733301,True,36518.235166,0.107188,0.107188,14843,8933.304688,3095.95166,4939.028809,848.504822
4,IC,Inferior colliculus,140455.637457,48912.083877,10219.324623,48243.966045,33080.262913,91543.55358,5.871719,,,,,28802.073395,5.871719,5.871719,824716,28802.072266,6087.602051,21612.414062,1102.048218
6,int,internal capsule,97803.72042,0.0,10521.642719,81500.352779,5781.724922,97803.72042,2.790344,,,,,,,2.790344,272906,,,,
7,PSV,Principal sensory nucleus of the trigeminal,108057.567086,43329.379398,10837.874829,43215.240623,10675.072235,64728.187688,1.130203,118680.436315,134133.0,2944.729359,True,15758.556508,1.130203,1.130203,122127,7357.799316,736.049316,6551.181641,70.568352
8,grey,Basic cell groups and regions,243077.409164,167290.122862,12058.873983,38918.967718,24809.444601,75787.286302,428.955391,,4003067.0,108186.496491,False,167290.12355,428.955391,428.955391,104269365,33911.261719,5973.536133,5358.55127,1049.19812
9,SSp-tr6a,"Primary somatosensory area, trunk, layer 6a",200109.610239,93060.898159,10375.060447,69179.79303,27493.858603,107048.71208,0.969344,127485.218737,123577.0,977.006141,True,95764.346595,0.969344,0.969344,193975,14638.299805,3542.876221,4989.247559,822.380981
10,SCig,"Superior colliculus, motor related, intermediate gray layer",154295.313469,63312.103055,9674.538938,49394.335199,31914.336277,90983.210413,3.478719,,205040.333333,18198.270751,False,46030.680894,3.478719,3.478719,536750,32424.625,2469.665283,11992.977539,33.851963
12,IF,Interfascicular nucleus raphe,155071.583514,87184.381779,8829.501085,58169.197397,888.503254,67887.201735,0.036016,122613.449024,4416.0,360.936282,True,80902.659151,0.036016,0.036016,5585,8423.145508,304.87439,916.367676,27.96492
14,im,internal medullary lamina of the thalamus,99638.051044,0.0,8686.774942,55981.438515,34969.837587,99638.051044,0.013469,,,,,,,0.013469,1342,,,,
