cell_type,nucleus_diameter_um_mean,nucleus_diameter_um_range,soma_diameter_um_mean,soma_diameter_um_range,notes,source
neuron_generic,5.2,"4.7–5.8","varies widely","5–70+ depending on type","Generic excitatory neurons across neocortex/hippocampus/striatum. Nucleus diameter derived from area measurements (area 17–23 um^2) assuming circular profile in 40-um cryo-sections.","Das & Ramanan 2023 Front Cell Dev Biol 11:1032504 (Table 1: neocortex 22.0 um^2; striatum 19.7 um^2; CA1 20.4 um^2; CA3 23.2 um^2). Nuclear areas -> d=2*sqrt(A/pi)."
neuron_cortical_pyramidal_L2_3,5.1,"4.5–6.0","15–20","12–25","Layer 2/3 pyramidal neurons; soma smaller than L5. Nucleus ~5 um from DAPI/Lamin staining.","Das & Ramanan 2023 (neocortex excitatory, 5.3 um); Holley et al. 2018 Front Neuroanat 12:103 (dendritic morphology confirms small-medium soma)"
neuron_cortical_pyramidal_L5_thick_tufted,6.5,"5.5–8.0","25–35","20–40","Thick-tufted L5 (TTL5/ET) neurons are the largest cortical neurons. Soma triangle-shaped; largest dimension can reach 40 um. Nucleus scales proportionally.","Ramaswamy & Bhatt 2015 Front Cell Neurosci 9:233 (anatomy review); Allen Cell Types Database (mouse VISp/MOp patch-clamp cells, soma depth/morphology data)"
neuron_cerebellar_granule,5.0,"4.0–6.0","8–10","6–12","Smallest neurons in the brain. Soma ~10 um with very thin cytoplasm rim; nucleus nearly fills the soma. DAPI gives a small, bright round spot.","Wikipedia/Granule cell article (soma ~10 um); Cesana et al. Sci Rep 7:46147 2017 (CGC 3D models; compact morphology with small soma)"
neuron_cerebellar_Purkinje,8.0,"6.5–10.0","20–22","18–30","Large flask-shaped cell body in the Purkinje layer. Nucleus large and pale. Soma width 21.2 +/- 1.1 um measured in 3D in adult mouse.","Nishiyama et al. Sci Rep 1:122 2011 Table 1 (mouse normal Purkinje: soma width 21.2 +/- 1.1 um; height 13.9 +/- 1.5 um)"
neuron_hippocampus_CA3_pyramidal,5.4,"4.5–6.5","20–30","15–35","CA3 pyramidal neurons show the largest nuclei of any major mouse forebrain region measured; nucleus area 23.2 um^2 at 3 months.","Das & Ramanan 2023 (Table 1: CA3 23.2 +/- 0.36 um^2; largest among cortex/striatum/CA1/CA3)"
neuron_motor_large_alpha_motoneuron,10.0,"8.0–14.0","40–70","30–80","Spinal alpha motor neurons and cranial motor nuclei are the largest neurons in the mouse CNS. Only a small fraction of all brain sections contain these.","General neuroanatomy textbooks; Sturrock 1981 (mean neuron nucleus 8 um in indusium griseum as lower-bound reference)"
neuron_striatal,5.0,"4.0–5.5","12–18","10–20","Striatal neurons (mainly medium spiny) are among the smallest forebrain neurons; most circular nuclei.","Das & Ramanan 2023 (Table 1: striatum 19.7 um^2 -> 5.0 um; most circular: circularity 0.961)"
neuron_interneuron_parvalbumin,4.9,"4.0–5.8","10–18","8–22","PV interneurons are found throughout cortex and hippocampus. Nucleus area 18.6–24.0 um^2 depending on region; CA1 PV cells largest.","Das & Ramanan 2023 (Table 2: SSC/MC PV 18.55 um^2; CA1 PV 23.99 um^2)"
astrocyte,7.0,"5.0–9.0","10–12","8–20","Protoplasmic astrocytes (gray matter) have soma ~9-12 um in mouse cortex; fibrous astrocytes (white matter) slightly smaller soma. Nucleus 6-9 um. Large territorial domain (50-100 um diameter) but soma is modest.","Oberheim et al. 2009 J Neurosci 29:3276 (mouse protoplasmic astrocyte soma ~10 um vs human ~12 um); Emsley & Macklis 2006 J Neurosci Res 85:2432 (astroglial heterogeneity)"
oligodendrocyte,6.5,"5.0–8.0","10","8–12","Oligodendrocytes have a darkly staining round nucleus in Nissl/DAPI; soma compact with few visible processes by light microscopy. Nucleus often slightly smaller than astrocyte.","Sturrock 1981 Neuropathol Appl Neurobiol 7:647 (glia nucleus 5 um in mouse indusium griseum); Tanaka et al. 2021 Glia 69:2488 (EM: oligodendrocyte corpus callosum morphology); general rodent Nissl atlas descriptions (nucleus 5-8 um)"
microglia,6.5,"5.0–8.0","10–11","7–15","Resting/homeostatic ramified microglia have a small soma and extensive thin processes. Soma diameter ~10-11 um (from cell body perimeter 31-35 um; d=P/pi). Nucleus fills most of soma. Activated microglia enlarge soma substantially.","Kongsui et al. 2014 J Neuroinflammation 11:182 Table 1 (rat PFC: cell body perimeter 30.6-34.6 um across cortical layers -> soma d ~10-11 um); Kozlowski & Weimer 2012 PLoS ONE 7:e31814 (resting mouse microglia soma area ~500 um^2 in 2D projection)"
